annotator,pairing,metric,original_score,human_score
sarah_anno,unknown,Behavior score,1,-5.0
sarah_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,1,5.0
sarah_anno,unknown,Behavior score,1,-5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,4,3.0
sarah_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,-3.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,3,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,low_behavior_low_fluency,Behavior score,-5,-2.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,low_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,low_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,low_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,low_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,0.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,2,2.0
sarah_anno,low_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,high_behavior_high_fluency,Fluence score,2,2.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,high_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,0.0
sarah_anno,low_behavior_low_fluency,Fluence score,0,0.0
sarah_anno,unknown,Fluence score,0,1.0
sarah_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,3.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,2.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,4.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,2.5
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,0.0
swastik_anno,unknown,Behavior score,1,1.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,2.5
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,0.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,3.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,4.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,3.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,0.0
swastik_anno,unknown,Behavior score,0,4.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,low_behavior_high_fluency,Behavior score,-5,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,1,4.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,1,3.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,3.0
swastik_anno,unknown,Behavior score,4,5.0
swastik_anno,unknown,Behavior score,1,3.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
swastik_anno,unknown,Behavior score,1,-5.0
swastik_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,low_behavior_high_fluency,Behavior score,-5,1.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,1,2.5
swastik_anno,unknown,Behavior score,1,5.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,4,5.0
swastik_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
swastik_anno,high_behavior_high_fluency,Behavior score,5,5.0
swastik_anno,unknown,Behavior score,0,1.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,-1.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,high_behavior_low_fluency,Behavior score,5,2.5
swastik_anno,unknown,Behavior score,0,1.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,3,2.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,1,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,low_behavior_low_fluency,Behavior score,-5,-1.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,unknown,Behavior score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,low_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,low_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,low_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,low_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,0.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,2,2.0
swastik_anno,low_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,high_behavior_high_fluency,Fluence score,2,2.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,high_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
swastik_anno,low_behavior_low_fluency,Fluence score,0,0.0
swastik_anno,unknown,Fluence score,0,1.0
swastik_anno,unknown,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,3.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,3.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,1,-2.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,1,-3.0
navita_anno,high_behavior_low_fluency,Behavior score,5,4.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,0,-3.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,0,3.0
navita_anno,unknown,Behavior score,1,-3.0
navita_anno,low_behavior_high_fluency,Behavior score,-5,0.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,1,4.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,1,3.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,4.0
navita_anno,unknown,Behavior score,4,5.0
navita_anno,unknown,Behavior score,1,3.0
navita_anno,unknown,Behavior score,1,-5.0
navita_anno,unknown,Behavior score,1,-4.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,1,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
navita_anno,unknown,Behavior score,1,-5.0
navita_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
navita_anno,unknown,Behavior score,0,-4.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,0,-5.0
navita_anno,unknown,Behavior score,0,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,1,-4.0
navita_anno,unknown,Behavior score,1,-2.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,4,-4.0
navita_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
navita_anno,high_behavior_high_fluency,Behavior score,5,5.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,high_behavior_low_fluency,Behavior score,5,0.0
navita_anno,unknown,Behavior score,0,-2.0
navita_anno,unknown,Behavior score,0,3.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,3,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,1,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,low_behavior_low_fluency,Behavior score,-5,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,unknown,Behavior score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,1.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,high_behavior_low_fluency,Fluence score,0,1.0
navita_anno,unknown,Fluence score,0,0.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,high_behavior_low_fluency,Fluence score,0,0.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,unknown,Fluence score,0,1.0
navita_anno,low_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,low_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,low_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,unknown,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
navita_anno,high_behavior_high_fluency,Fluence score,2,2.0
